subject,gender,age
165032,M,22-25
165234,F,22-25
165436,M,26-30
165638,M,26-30
165840,M,31-35
165941,F,26-30
166438,M,31-35
166640,M,22-25
167036,F,26-30
167238,F,31-35
167440,F,26-30
167743,F,26-30
168038,M,26-30
168139,M,22-25
168240,M,26-30
168341,M,31-35
168745,F,22-25
168947,F,26-30
169040,M,22-25
169141,M,22-25
169343,F,31-35
169444,F,26-30
169545,M,22-25
169747,F,26-30
169949,M,26-30
170631,F,31-35
170934,F,26-30
171128,F,36+
171330,M,26-30
171431,F,26-30
171532,F,31-35
171633,M,26-30
171734,F,26-30
172029,M,26-30
172130,M,26-30
172332,F,26-30
172433,M,22-25
172534,F,22-25
172635,M,31-35
172938,F,31-35
173132,M,31-35
173233,M,26-30
173334,M,26-30
173435,F,26-30
173536,F,31-35
173637,F,22-25
173738,M,31-35
173839,F,22-25
173940,F,26-30
174437,F,31-35
174841,M,22-25
175035,M,22-25
175136,F,22-25
175237,F,31-35
175338,F,22-25
175439,F,31-35
175540,M,31-35
175742,F,31-35
175944,M,26-30
176037,F,26-30
176239,M,31-35
176441,M,26-30
176542,F,26-30
176744,M,31-35
176845,F,26-30
177140,F,31-35
177241,M,26-30
177342,M,22-25
177645,F,26-30
177746,F,26-30
178142,F,26-30
178243,M,22-25
178647,F,31-35
178748,M,31-35
178849,M,22-25
178950,M,31-35
179043,F,26-30
179245,F,31-35
179346,F,26-30
179548,F,26-30
179952,F,26-30
180129,F,26-30
180230,F,26-30
180432,F,31-35
180533,F,31-35
180735,F,31-35
180836,F,31-35
180937,M,36+
181131,F,31-35
181232,F,26-30
181636,F,31-35
182032,F,31-35
182436,F,31-35
182739,F,26-30
182840,M,31-35
183034,M,31-35
183337,F,31-35
183741,M,31-35
184642,F,31-35
185038,M,31-35
185139,F,31-35
185341,F,22-25
185442,M,22-25
185846,M,26-30
185947,F,26-30
186040,M,26-30
186141,M,31-35
186242,M,26-30
186444,F,22-25
186545,F,31-35
186848,F,26-30
186949,M,22-25
187143,M,26-30
187345,F,31-35
187547,F,31-35
187850,M,22-25
188145,F,31-35
188246,M,26-30
188347,F,26-30
188448,F,22-25
188549,M,22-25
188751,M,26-30
189349,F,26-30
189450,M,22-25
189551,F,31-35
189652,M,26-30
190031,F,26-30
190132,F,31-35
190940,M,31-35
191033,F,26-30
191235,M,22-25
191336,M,26-30
191437,F,31-35
191639,M,22-25
191841,F,26-30
191942,M,26-30
192035,F,26-30
192136,M,22-25
192237,F,31-35
192439,F,31-35
192540,F,26-30
192641,F,31-35
192843,M,26-30
193239,F,26-30
193441,M,26-30
193845,M,22-25
194140,F,26-30
194443,M,26-30
194645,M,26-30
194746,M,31-35
194847,F,31-35
194948,F,31-35
195041,F,31-35
195445,F,26-30
195647,F,31-35
195849,M,22-25
195950,M,26-30
196144,F,31-35
196346,M,26-30
196548,M,22-25
196750,F,26-30
196851,M,26-30
196952,F,26-30
197348,F,26-30
197449,F,22-25
197550,F,26-30
197651,F,31-35
197954,F,31-35
198047,F,26-30
198249,M,26-30
198350,M,31-35
198451,M,26-30
198653,M,22-25
198855,M,26-30
199150,F,26-30
199251,F,31-35
199352,F,22-25
199453,M,22-25
199554,M,31-35
199655,M,31-35
199958,M,31-35
200008,F,26-30
200109,F,31-35
200210,M,26-30
200311,M,31-35
200513,M,22-25
200614,F,31-35
200816,F,26-30
200917,F,22-25
201111,M,26-30
201414,F,22-25
201515,M,26-30
201717,M,22-25
201818,F,26-30
202113,F,22-25
202719,M,22-25
202820,F,36+
203418,M,26-30
203721,F,31-35
203923,F,26-30
204016,F,22-25
204117,F,26-30
204218,M,26-30
204319,F,26-30
204420,F,26-30
204521,F,31-35
204622,F,26-30
205119,M,31-35
205220,F,26-30
205725,F,22-25
205826,M,31-35
206222,M,26-30
206323,F,31-35
206525,M,26-30
206727,M,22-25
206828,M,22-25
206929,M,31-35
207123,M,26-30
207426,M,26-30
207628,M,31-35
208024,F,31-35
208125,F,26-30
208226,F,22-25
208327,M,26-30
208428,F,31-35
208630,M,31-35
208832,F,31-35
209127,F,31-35
209228,F,26-30
209329,F,31-35
209531,F,36+
209834,F,26-30
209935,M,22-25
210011,M,22-25
210112,M,22-25
210415,F,26-30
210617,F,31-35
211114,F,26-30
211215,M,26-30
211316,F,31-35
211417,M,36+
211518,F,22-25
211619,M,26-30
211720,M,31-35
211821,M,26-30
211922,F,26-30
212015,M,22-25
212116,M,26-30
212217,F,22-25
212318,F,31-35
212419,F,26-30
212520,F,31-35
212823,M,22-25
212924,F,26-30
213017,M,22-25
213421,F,26-30
213522,M,26-30
214019,F,31-35
214221,F,22-25
214423,M,22-25
214524,M,22-25
214625,F,31-35
214726,M,22-25
217126,M,22-25
217429,F,31-35
218128,M,26-30
219231,M,26-30
220721,M,26-30
221218,F,26-30
221319,F,26-30
223929,M,31-35
224022,F,26-30
227432,M,31-35
227533,F,31-35
228434,F,22-25
230926,F,26-30
231928,F,26-30
233326,M,31-35
235128,F,26-30
236130,F,26-30
237334,F,22-25
238033,M,31-35
239136,F,26-30
239944,F,31-35
245333,F,31-35
246133,F,26-30
248238,F,31-35
248339,M,26-30
249947,F,31-35
250427,F,31-35
250932,F,31-35
251833,M,31-35
255639,F,26-30
255740,F,26-30
256540,F,22-25
257542,F,26-30
257845,M,26-30
257946,F,26-30
263032,F,22-25
263436,F,31-35
268749,M,26-30
268850,F,22-25
270332,M,31-35
274542,F,26-30
275645,M,22-25
280739,F,31-35
280941,F,26-30
281135,M,26-30
283543,M,22-25
284646,M,26-30
285345,F,31-35
285446,M,31-35
286347,F,26-30
286650,M,26-30
287248,F,26-30
289555,F,31-35
290136,F,26-30
293748,F,31-35
295146,F,26-30
297655,F,31-35
298051,F,31-35
298455,M,22-25
299154,M,22-25
299760,M,26-30
300618,M,22-25
300719,M,26-30
303119,F,26-30
303624,M,31-35
304020,M,31-35
304727,F,31-35
305830,F,22-25
307127,F,31-35
308129,M,22-25
308331,M,26-30
309636,F,26-30
310621,F,31-35
311320,M,26-30
314225,M,22-25
316633,F,26-30
316835,F,26-30
317332,M,26-30
318637,M,26-30
320826,F,31-35
321323,F,31-35
322224,F,31-35
325129,M,31-35
329440,M,26-30
329844,M,26-30
330324,M,26-30
333330,F,31-35
334635,F,22-25
336841,M,26-30
339847,F,26-30
341733,F,31-35
341834,M,26-30
341935,F,26-30
342129,M,26-30
346137,M,26-30
346945,F,22-25
348545,M,22-25
349244,M,26-30
350330,F,22-25
351938,F,22-25
352132,M,26-30
352738,M,31-35
353740,M,22-25
354439,F,26-30
354944,M,22-25
355239,F,26-30
355542,F,26-30
355845,F,26-30
356948,F,26-30
358144,F,26-30
360030,F,31-35
361234,F,31-35
361941,M,26-30
362034,F,31-35
365343,F,26-30
366042,F,26-30
366446,M,22-25
368551,M,26-30
368753,F,31-35
370740,F,26-30
371843,F,31-35
373039,F,26-30
376247,F,26-30
377451,F,26-30
378756,M,26-30
378857,F,31-35
379657,F,26-30
380036,M,26-30
381038,F,26-30
381543,F,22-25
382242,F,31-35
382545,M,31-35
384448,M,31-35
385046,M,26-30
385450,M,26-30
386250,M,22-25
387959,M,26-30
389357,F,26-30
390645,F,26-30
391748,F,31-35
392447,M,31-35
392750,M,31-35
393247,F,31-35
393550,M,26-30
394956,F,26-30
395251,F,26-30
395756,F,31-35
395958,M,26-30
397154,F,26-30
397760,M,31-35
397861,M,31-35
398964,F,31-35
401422,F,31-35
403628,F,26-30
406432,M,26-30
406836,F,31-35
412528,F,31-35
413934,F,31-35
414229,M,31-35
415837,F,22-25
419239,F,26-30
421226,M,31-35
422632,F,22-25
424939,M,26-30
429040,F,31-35
432332,F,31-35
433839,M,26-30
435136,M,31-35
436239,F,26-30
436845,F,26-30
441939,F,26-30
445543,M,26-30
446545,F,26-30
448347,M,26-30
449753,M,22-25
453441,M,31-35
453542,F,31-35
454140,M,31-35
456346,F,22-25
457045,F,22-25
459453,F,26-30
461743,M,26-30
462139,F,26-30
463040,F,31-35
465852,F,26-30
